x-axis,1,2,3
second,Volt,Volt,Volt
-25.78000E-03,+1.31875002E+00,+562.50000E-03,+786.99994E-03
-25.76000E-03,+1.78750002E+00,+937.50000E-03,+1.22449994E+00
-25.74000E-03,+2.10000002E+00,+1.34375000E+00,+1.81824994E+00
-25.72000E-03,+2.38125002E+00,+1.90625000E+00,+2.31824994E+00
-25.70000E-03,+2.53750002E+00,+2.34375000E+00,+2.66199994E+00
-25.68000E-03,+2.50625002E+00,+2.68750000E+00,+2.88074994E+00
-25.66000E-03,+2.25625002E+00,+2.78125000E+00,+2.88074994E+00
-25.64000E-03,+1.94375002E+00,+2.75000000E+00,+2.56824994E+00
-25.62000E-03,+1.50625002E+00,+2.43750000E+00,+2.09949994E+00
-25.60000E-03,+1.10000002E+00,+2.00000000E+00,+1.53699994E+00
-25.58000E-03,+818.75002E-03,+1.43750000E+00,+1.00574994E+00
-25.56000E-03,+662.50002E-03,+937.50000E-03,+568.24994E-03
-25.54000E-03,+725.00002E-03,+593.75000E-03,+349.49994E-03
-25.52000E-03,+943.75002E-03,+437.50000E-03,+411.99994E-03
-25.50000E-03,+1.28750002E+00,+531.25000E-03,+661.99994E-03
-25.48000E-03,+1.72500002E+00,+812.50000E-03,+1.13074994E+00
-25.46000E-03,+2.16250002E+00,+1.28125000E+00,+1.72449994E+00
-25.44000E-03,+2.41250002E+00,+1.81250000E+00,+2.22449994E+00
-25.42000E-03,+2.53750002E+00,+2.31250000E+00,+2.69324994E+00
-25.40000E-03,+2.47500002E+00,+2.65625000E+00,+2.97449994E+00
-25.38000E-03,+2.25625002E+00,+2.84375000E+00,+2.88074994E+00
-25.36000E-03,+1.88125002E+00,+2.75000000E+00,+2.56824994E+00
-25.34000E-03,+1.41250002E+00,+2.43750000E+00,+2.09949994E+00
-25.32000E-03,+1.06875002E+00,+1.96875000E+00,+1.50574994E+00
-25.30000E-03,+787.50002E-03,+1.37500000E+00,+911.99994E-03
-25.28000E-03,+662.50002E-03,+875.00000E-03,+536.99994E-03
-25.26000E-03,+756.25002E-03,+531.25000E-03,+349.49994E-03
-25.24000E-03,+1.03750002E+00,+406.25000E-03,+380.74994E-03
-25.22000E-03,+1.44375002E+00,+531.25000E-03,+786.99994E-03
-25.20000E-03,+1.88125002E+00,+906.25000E-03,+1.31824994E+00
-25.18000E-03,+2.19375002E+00,+1.43750000E+00,+1.91199994E+00
-25.16000E-03,+2.47500002E+00,+2.00000000E+00,+2.50574994E+00
-25.14000E-03,+2.50625002E+00,+2.46875000E+00,+2.88074994E+00
-25.12000E-03,+2.35000002E+00,+2.78125000E+00,+2.97449994E+00
-25.10000E-03,+2.00625002E+00,+2.81250000E+00,+2.78699994E+00
-25.08000E-03,+1.66250002E+00,+2.62500000E+00,+2.34949994E+00
-25.06000E-03,+1.22500002E+00,+2.18750000E+00,+1.75574994E+00
-25.04000E-03,+818.75002E-03,+1.62500000E+00,+1.13074994E+00
-25.02000E-03,+693.75002E-03,+1.06250000E+00,+630.74994E-03
-25.00000E-03,+693.75002E-03,+625.00000E-03,+349.49994E-03
-24.98000E-03,+1.00625002E+00,+437.50000E-03,+380.74994E-03
-24.96000E-03,+1.35000002E+00,+468.75000E-03,+630.74994E-03
-24.94000E-03,+1.78750002E+00,+812.50000E-03,+1.19324994E+00
-24.92000E-03,+2.19375002E+00,+1.28125000E+00,+1.75574994E+00
-24.90000E-03,+2.44375002E+00,+1.90625000E+00,+2.38074994E+00
-24.88000E-03,+2.53750002E+00,+2.40625000E+00,+2.78699994E+00
-24.86000E-03,+2.41250002E+00,+2.75000000E+00,+2.97449994E+00
-24.84000E-03,+2.06875002E+00,+2.84375000E+00,+2.81824994E+00
-24.82000E-03,+1.66250002E+00,+2.65625000E+00,+2.38074994E+00
-24.80000E-03,+1.19375002E+00,+2.21875000E+00,+1.78699994E+00
-24.78000E-03,+818.75002E-03,+1.65625000E+00,+1.13074994E+00
-24.76000E-03,+725.00002E-03,+1.06250000E+00,+599.49994E-03
-24.74000E-03,+756.25002E-03,+625.00000E-03,+349.49994E-03
-24.72000E-03,+1.03750002E+00,+375.00000E-03,+349.49994E-03
-24.70000E-03,+1.44375002E+00,+468.75000E-03,+661.99994E-03
-24.68000E-03,+1.91250002E+00,+843.75000E-03,+1.22449994E+00
-24.66000E-03,+2.28750002E+00,+1.37500000E+00,+1.88074994E+00
-24.64000E-03,+2.50625002E+00,+1.96875000E+00,+2.50574994E+00
-24.62000E-03,+2.50625002E+00,+2.50000000E+00,+2.91199994E+00
-24.60000E-03,+2.31875002E+00,+2.81250000E+00,+3.00574994E+00
-24.58000E-03,+1.94375002E+00,+2.84375000E+00,+2.72449994E+00
-24.56000E-03,+1.50625002E+00,+2.56250000E+00,+2.22449994E+00
-24.54000E-03,+1.03750002E+00,+2.09375000E+00,+1.56824994E+00
-24.52000E-03,+725.00002E-03,+1.43750000E+00,+911.99994E-03
-24.50000E-03,+693.75002E-03,+843.75000E-03,+443.24994E-03
-24.48000E-03,+850.00002E-03,+531.25000E-03,+318.24994E-03
-24.46000E-03,+1.22500002E+00,+375.00000E-03,+443.24994E-03
-24.44000E-03,+1.69375002E+00,+625.00000E-03,+911.99994E-03
-24.42000E-03,+2.13125002E+00,+1.06250000E+00,+1.56824994E+00
-24.40000E-03,+2.44375002E+00,+1.68750000E+00,+2.22449994E+00
-24.38000E-03,+2.50625002E+00,+2.28125000E+00,+2.78699994E+00
-24.36000E-03,+2.35000002E+00,+2.71875000E+00,+2.97449994E+00
-24.34000E-03,+2.03750002E+00,+2.87500000E+00,+2.88074994E+00
-24.32000E-03,+1.56875002E+00,+2.71875000E+00,+2.41199994E+00
-24.30000E-03,+1.13125002E+00,+2.25000000E+00,+1.78699994E+00
-24.28000E-03,+787.50002E-03,+1.68750000E+00,+1.09949994E+00
-24.26000E-03,+693.75002E-03,+1.00000000E+00,+505.74994E-03
-24.24000E-03,+881.25002E-03,+562.50000E-03,+318.24994E-03
-24.22000E-03,+1.19375002E+00,+375.00000E-03,+380.74994E-03
-24.20000E-03,+1.66250002E+00,+531.25000E-03,+818.24994E-03
-24.18000E-03,+2.13125002E+00,+968.75000E-03,+1.44324994E+00
-24.16000E-03,+2.41250002E+00,+1.56250000E+00,+2.16199994E+00
-24.14000E-03,+2.53750002E+00,+2.21875000E+00,+2.72449994E+00
-24.12000E-03,+2.38125002E+00,+2.68750000E+00,+3.00574994E+00
-24.10000E-03,+2.00625002E+00,+2.87500000E+00,+2.91199994E+00
-24.08000E-03,+1.56875002E+00,+2.71875000E+00,+2.41199994E+00
-24.06000E-03,+1.10000002E+00,+2.28125000E+00,+1.75574994E+00
-24.04000E-03,+756.25002E-03,+1.62500000E+00,+1.06824994E+00
-24.02000E-03,+693.75002E-03,+1.00000000E+00,+536.99994E-03
